macro_f1,macro_f1_std,balanced_acc,secs,n_estimators,learning_rate,num_leaves,min_child_samples,colsample_bytree,subsample,reg_lambda
0.7186649216313183,0.0023156425351660214,0.7562670753799124,97.2,800,0.03,255,100,0.7,0.7,0.0
0.7155224802038492,0.0028559659052725473,0.7323674830930892,50.7,800,0.1,127,200,1.0,1.0,1.0
0.7138725014824082,0.003096987483301971,0.8334095562283966,60.1,500,0.03,255,200,0.7,1.0,1.0
0.7130306279705977,0.0016053595103526505,0.7322347464354375,38.0,300,0.1,255,20,0.7,0.7,1.0
0.7125740497030585,0.0026146989647682834,0.7873618008379702,20.5,300,0.1,127,50,0.85,0.7,0.0
0.7112402334803477,0.0006674928090075553,0.7127847589391959,53.1,800,0.1,127,50,0.85,0.85,1.0
0.6996728262886681,0.001477999783515488,0.8402520734415324,28.6,800,0.05,63,100,1.0,1.0,0.0
0.6987360443080176,0.002218959149158534,0.8562248989492206,37.4,300,0.03,255,100,0.85,0.85,5.0
0.6948263044373032,0.0029011094967379427,0.8487909344073398,16.1,800,0.1,31,100,0.85,1.0,5.0
0.6898615957517135,0.0017886985184204641,0.856874619305645,12.4,300,0.1,63,100,0.7,0.85,5.0
0.6885594642420902,0.002538858528448491,0.8503076377273642,10.9,500,0.1,31,20,0.85,0.7,0.0
0.6883657607917747,0.002483259429513935,0.8633827218310581,20.3,500,0.05,63,20,0.85,0.7,5.0
0.683744462352793,0.0023507306322688047,0.8595085755268238,12.3,500,0.1,31,20,0.85,0.7,5.0
0.6825550578151983,0.0014274200014952805,0.8591954398134402,11.8,500,0.1,31,200,1.0,0.7,5.0
0.6648197850496008,0.0025785993913013338,0.8810425609895876,11.4,300,0.03,63,50,0.7,1.0,0.0
0.6610143150623277,0.0014859389675176552,0.8819547432403921,7.2,300,0.05,31,20,0.85,0.85,1.0
