macro_f1,macro_f1_std,balanced_acc,secs,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,gamma
0.45147886282780547,0.0018146530538076149,0.5248067321027228,105.0,800,0.05,10,20,0.7,0.85,0.0,0.5
0.4497708239425104,0.0018963907280349207,0.5199379859788847,79.0,800,0.1,8,20,0.85,0.85,1.0,0.0
0.44278624697510754,0.002651914879864729,0.5502387503903386,31.4,300,0.1,8,20,0.85,0.85,0.0,0.0
0.4425555587427816,0.0016014235860933232,0.5568812853945381,41.9,300,0.03,10,1,0.7,0.7,1.0,2.0
0.43617290845751505,0.003030411048940235,0.557798861963502,18.4,500,0.1,10,20,1.0,1.0,0.0,2.0
0.4334219802438633,0.0025304395471926148,0.5607771196009996,18.4,300,0.1,6,5,0.85,0.85,5.0,2.0
0.4311325930772932,0.00242210585019201,0.5604416585077555,25.2,300,0.05,6,1,0.85,1.0,1.0,0.5
0.43054492752398305,0.0015327940071493413,0.5617887908879238,13.1,300,0.1,6,1,1.0,0.7,1.0,2.0
0.43044927481802714,0.0018479602763400392,0.5606511313084203,25.0,300,0.05,6,1,0.7,1.0,5.0,2.0
0.4302005111396465,0.0021001160250001287,0.5598383103918269,28.0,500,0.1,4,20,0.7,0.7,0.0,0.5
0.4301395197700047,0.0019450878314120695,0.5615064820901071,23.0,300,0.05,6,5,0.85,0.85,1.0,2.0
0.42843163183929917,0.0018334307542749316,0.5622271034264092,25.5,300,0.03,6,20,0.7,1.0,1.0,0.0
0.4278451994862611,0.0021866883057581345,0.5614214044841402,18.4,300,0.05,6,20,1.0,1.0,0.0,2.0
0.4277857641134419,0.0018587375418209148,0.5608549117658727,24.9,300,0.03,6,5,0.7,0.7,0.0,2.0
0.4268158458348286,0.0020703689428496997,0.5609431914239108,15.2,300,0.1,4,5,1.0,0.85,0.0,0.5
0.42320029600824155,0.0019240277409084822,0.5595924101911343,17.3,300,0.05,4,1,0.85,0.85,5.0,0.0
