move_f1,move_f1_std,rmse,secs,n_estimators,learning_rate,num_leaves,min_child_samples,colsample_bytree,subsample,reg_lambda
0.3583350368054825,0.0006527286785245861,0.32108916863545545,42.3,800,0.1,127,50,1.0,0.7,5.0
0.35471509803746754,0.0014171815456154222,0.31792588385636306,42.0,800,0.1,127,20,1.0,0.85,1.0
0.354237413565674,0.00044062727112579415,0.3176975358006492,29.5,300,0.1,255,50,0.85,0.7,5.0
0.350393914003712,0.0020333516079448343,0.3158422139493987,24.1,800,0.1,63,200,0.7,0.7,5.0
0.3463892605993777,0.0012307360082990746,0.31389998271075775,20.4,300,0.1,127,100,0.85,0.85,0.0
0.3460048268357021,0.0014277302695865266,0.3122314249077685,27.2,500,0.05,127,100,0.7,0.7,0.0
0.3452181426434822,0.0005317473808001096,0.3132499917244753,17.2,500,0.1,63,100,0.7,0.85,1.0
0.3444367405159467,0.0013581208109205748,0.3117209227833855,52.4,500,0.03,255,200,0.85,0.85,5.0
0.34417481142704404,0.0004122539070980561,0.31203979480646243,24.2,800,0.05,63,200,0.85,0.7,1.0
0.343901350583874,0.0011726459557580718,0.31244553835360045,14.6,300,0.1,127,50,0.85,1.0,0.0
0.3438765149139751,0.0014906061330234048,0.3119375767987454,50.6,500,0.03,255,20,1.0,0.7,5.0
0.342884609963759,0.001045657457831215,0.3125516155565013,12.8,800,0.1,31,50,0.85,0.85,0.0
0.3422616580242772,0.0011623862087617762,0.31072563526586955,17.4,300,0.05,127,200,0.85,0.7,5.0
0.34144429085861056,0.0007450424644565078,0.31034299342394706,15.9,300,0.05,127,100,0.85,1.0,1.0
0.34053631423454095,0.0011132753826324213,0.31038729384272684,26.2,500,0.03,127,100,1.0,1.0,1.0
0.3404052821231885,0.0007443816172490549,0.31058829325407017,8.0,500,0.1,31,50,1.0,1.0,1.0
0.3402624207990723,0.0008909995241864668,0.309877486251448,12.8,800,0.05,31,200,0.85,1.0,5.0
0.33988169113414357,0.0006349754221343817,0.3094562221858857,5.8,300,0.1,31,200,0.7,1.0,0.0
0.3395967005248364,0.0012983128560929201,0.3109003077576842,15.8,500,0.05,63,50,1.0,0.7,0.0
0.3391007054403325,0.0011877643249039193,0.3097759401066587,14.6,500,0.05,63,20,0.7,0.85,5.0
0.3390865381911748,0.0005392798749325037,0.3099302043631917,24.5,800,0.03,63,50,1.0,1.0,0.0
0.3382590206598586,0.0009493782659810121,0.31001674854028877,23.5,800,0.03,63,20,1.0,0.85,0.0
0.3382425859266442,0.0009732130042127092,0.309213416203535,12.7,800,0.03,31,100,1.0,1.0,5.0
0.337838579077042,0.0010537079377838747,0.30909574499926334,9.4,500,0.05,31,100,0.85,1.0,5.0
