move_f1,move_f1_std,rmse,secs,n_estimators,learning_rate,num_leaves,min_child_samples,colsample_bytree,subsample,reg_lambda
0.3939245082740364,0.0016424972335722595,1.213528253875051,77.0,800,0.1,255,100,1.0,1.0,5.0
0.3901005001490169,0.0016484898132587613,1.2002003214663537,49.8,500,0.1,255,200,1.0,1.0,1.0
0.37278792417906853,0.001942813881207479,1.1817700988017708,48.7,500,0.05,255,100,1.0,1.0,1.0
0.3722212185758979,0.0021150129384317497,1.184622428954532,22.9,800,0.1,63,100,0.7,0.85,5.0
0.37068252874925417,0.0010260379276261938,1.179742567336559,78.5,800,0.03,255,50,0.7,0.7,0.0
0.3693200034698246,0.00247510571525129,1.1769251087686137,15.5,500,0.1,63,200,1.0,0.7,1.0
0.3684185163056375,0.0012548895159820849,1.1723492541616254,41.6,800,0.05,127,200,0.7,1.0,5.0
0.36719641868550923,0.0016079077658348764,1.1806008328691378,79.5,800,0.03,255,50,0.85,0.85,1.0
0.3634211095349455,0.001632667987977434,1.1815946795106622,75.0,800,0.05,255,20,0.7,1.0,0.0
0.35918137773137243,0.0012440164220960568,1.180053013936963,41.1,800,0.05,127,20,1.0,0.85,5.0
0.35599805994956096,0.0028421583564501754,1.1702021636672437,41.5,800,0.03,127,50,0.85,0.85,5.0
0.354126333938756,0.0007471870910613973,1.1675798369896135,30.3,300,0.03,255,100,1.0,1.0,0.0
0.3539882202437456,0.0009557976454815976,1.1685457661033996,8.6,500,0.1,31,100,0.7,0.7,5.0
0.3518692108791525,0.0013310859464032879,1.1762670012378011,23.0,800,0.05,63,20,0.85,0.7,1.0
0.34940224660664393,0.002176522079992865,1.1657378754812016,26.7,500,0.03,127,50,1.0,0.85,0.0
0.34593841897351996,0.00028879518291562004,1.1689854031522184,14.0,500,0.05,63,20,0.85,0.7,0.0
0.3437353760451773,0.002304375794582059,1.163032296766632,9.4,300,0.05,63,50,0.85,0.7,0.0
0.34339006315899206,0.0011173451307072834,1.1610136106456963,9.0,500,0.05,31,100,0.85,0.7,1.0
0.34010475164786863,0.0006586517767509973,1.1602551823993306,14.8,500,0.03,63,50,0.85,0.85,0.0
0.33956072059033504,0.002433784587360736,1.165251193336965,16.5,300,0.03,127,20,1.0,0.7,0.0
0.33818489193258167,0.00019268719696740415,1.1573947926537906,13.2,800,0.03,31,100,0.7,1.0,5.0
0.33451431467733306,0.001090367228939965,1.1591701999381099,9.6,300,0.03,63,50,1.0,0.85,5.0
0.33252943974080856,0.0008647453297748244,1.1569028841921944,8.9,500,0.03,31,50,0.7,0.85,1.0
0.32816578449327966,0.0010759986756799327,1.1580053428415495,5.6,300,0.03,31,50,1.0,0.7,5.0
