move_f1,move_f1_std,rmse,secs,n_estimators,learning_rate,num_leaves,min_child_samples,colsample_bytree,subsample,reg_lambda
0.38843827659125,0.002931478498092311,1.1765425416478845,47.4,800,0.1,127,200,1.0,1.0,1.0
0.38600110699373974,0.0035646836230211953,1.1857769900573685,46.0,800,0.1,127,50,0.85,0.85,1.0
0.3799995367334039,0.0005488453567398225,1.1835910162537664,34.0,300,0.1,255,20,0.7,0.7,1.0
0.376401124931693,0.003780618899318666,1.1652452427181983,59.5,500,0.05,255,50,0.7,0.7,1.0
0.37562678444888303,0.0032417817701674585,1.1582163911556846,93.5,800,0.03,255,100,0.7,0.7,0.0
0.3718375719021732,0.0021075047963805167,1.1682016603055445,18.2,300,0.1,127,50,0.85,0.7,0.0
0.3678133188595884,0.0015717964845368864,1.1589927879628417,92.7,800,0.03,255,50,0.85,1.0,1.0
0.3645317118077301,0.0009351530171807526,1.1479390705590873,65.8,500,0.03,255,200,0.85,0.85,0.0
0.3642589486824257,0.0030285083914959156,1.1477881508974999,56.9,500,0.03,255,200,0.7,1.0,1.0
0.36358281862962455,0.0014643567162825157,1.1571561935906338,17.5,500,0.1,63,50,0.7,0.85,5.0
0.36248839197176214,0.0011388006372846297,1.156524516973455,55.4,500,0.03,255,50,1.0,1.0,5.0
0.360701866864328,0.00240781335029134,1.148790136524177,14.1,800,0.1,31,100,0.85,1.0,5.0
0.360582282372258,0.0012098289414182524,1.148789917090779,25.0,800,0.05,63,100,1.0,1.0,0.0
0.3603164672759436,0.0022675015875857235,1.1577707113104119,15.4,800,0.1,31,50,1.0,0.85,1.0
0.35860238291782903,0.002221671186834374,1.1480358625510114,10.1,500,0.1,31,200,1.0,0.7,5.0
0.3576725661739002,0.0027076033155266866,1.1456028040593564,35.7,300,0.03,255,100,0.85,0.85,5.0
0.35738532021404534,0.0017156783335291591,1.1476614402329288,10.4,300,0.1,63,100,0.7,0.85,5.0
0.3539063610896256,0.0006373686868591477,1.1476593195798024,16.9,500,0.05,63,50,0.85,0.7,5.0
0.3519249151499288,0.0015635101352934428,1.1541955813402074,9.3,500,0.1,31,20,0.85,0.7,5.0
0.3516900802825789,0.002108955770281646,1.1556860586436122,8.9,500,0.1,31,20,0.85,0.7,0.0
0.3505331999672208,0.0025457358234732305,1.1497843905742948,16.5,500,0.05,63,20,0.85,0.7,5.0
0.34261720732291345,0.001133376031189685,1.1444074777939888,19.5,300,0.03,127,20,0.85,0.85,5.0
0.33614802339511846,0.0009796350689396172,1.1392103456784899,10.6,300,0.03,63,50,0.7,1.0,0.0
0.33367023059530104,0.0014331739060861205,1.140583467030485,6.2,300,0.05,31,20,0.85,0.85,1.0
