move_f1,move_f1_std,rmse,secs,n_estimators,learning_rate,num_leaves,min_child_samples,colsample_bytree,subsample,reg_lambda
0.37927097774220325,0.0025861759952775704,1.1763742523658907,28.6,300,0.1,255,100,0.7,1.0,0.0
0.3775276977312625,0.002350072593702943,1.1746955850142111,24.4,800,0.1,63,200,0.85,0.7,1.0
0.3760471619856078,0.002156617300143743,1.1954559618642688,40.5,800,0.1,127,20,1.0,0.85,5.0
0.3699340813066346,0.0023806451537218827,1.1709414028273837,81.4,800,0.03,255,100,0.85,0.85,5.0
0.3693962715171373,0.001983368881269818,1.1810938289392143,15.9,300,0.1,127,50,1.0,0.7,1.0
0.36818884534501645,0.002553476770709428,1.1643377489186848,41.5,800,0.05,127,200,0.7,1.0,0.0
0.3658267465284853,0.00352277570680329,1.1731200191965763,78.1,800,0.03,255,50,0.85,0.85,0.0
0.3618975978258872,0.003435812957947956,1.1634325825380996,29.7,300,0.05,255,100,0.85,1.0,0.0
0.3550612335866104,0.0030841105189832662,1.1554691252259794,8.9,500,0.1,31,200,0.7,0.7,1.0
0.35415588426790207,0.0018475204750506584,1.1551944667875835,8.9,500,0.1,31,200,0.7,0.7,5.0
0.35394235553030834,0.0014894799083745858,1.1671658980517239,13.2,500,0.1,63,20,0.85,1.0,0.0
0.3499979934115803,0.002042861157111523,1.1530491378850776,14.4,800,0.05,31,200,1.0,0.7,0.0
0.34979250832387615,0.002536347659974033,1.1591771447907553,21.9,800,0.05,63,50,1.0,1.0,5.0
0.3490789799549127,0.0032101054135423024,1.1509137614006173,23.6,800,0.03,63,200,0.85,1.0,1.0
0.34721798621595673,0.003743575926896545,1.1562522761954224,23.0,800,0.03,63,50,0.85,0.7,1.0
0.3444219918907781,0.002403726065293089,1.1489147091768934,17.4,300,0.03,127,200,0.85,1.0,5.0
0.34382039131153513,0.0033962186702393127,1.1522240272935802,9.4,300,0.05,63,100,1.0,0.85,1.0
0.3386173884983073,0.0026400647408500667,1.1464864618398078,10.2,300,0.03,63,200,0.85,0.85,5.0
0.33805166916288854,0.0025121748249542332,1.147748721776985,10.0,300,0.03,63,200,1.0,0.85,1.0
0.33782550882737555,0.004380194111646889,1.148664035203286,8.2,500,0.05,31,50,1.0,1.0,0.0
0.3377097433219995,0.002416173742530404,1.1486756062963084,9.8,300,0.03,63,200,1.0,1.0,0.0
0.3373361457561972,0.0021016757970688236,1.1506388957723621,8.1,500,0.05,31,20,0.7,0.7,0.0
0.3366922768672302,0.0039212506301783984,1.149467374759358,13.4,800,0.03,31,50,1.0,0.85,1.0
0.33437703509406314,0.002169967903515536,1.1460330327793093,9.1,500,0.03,31,100,0.85,0.85,5.0
