macro_f1,macro_f1_std,balanced_acc,secs,n_estimators,learning_rate,num_leaves,min_child_samples,colsample_bytree,subsample,reg_lambda
0.4740404067434736,0.0028107738056801592,0.4972635599128125,263.3,800,0.03,255,50,0.85,0.85,1.0
0.4729075961683585,0.002361890089770182,0.48631041163509076,245.1,800,0.05,255,20,0.7,1.0,0.0
0.4726923800456464,0.0038251223817443933,0.5121534650143366,85.7,500,0.03,127,50,1.0,0.85,0.0
0.4725346860093027,0.0026809599203814365,0.5082794175851191,145.2,800,0.03,127,50,0.85,0.85,5.0
0.47252513107101035,0.002830934310058917,0.49554924550140433,265.6,800,0.03,255,50,0.7,0.7,0.0
0.47230427720537277,0.00229201938881758,0.5001805353187802,144.8,800,0.05,127,20,1.0,0.85,5.0
0.4717413924483933,0.0026168112210689437,0.5146886767888127,56.2,300,0.03,127,20,1.0,0.7,0.0
0.470880161432222,0.002364554488382396,0.5098569553583792,98.3,300,0.03,255,100,1.0,1.0,0.0
0.470825401984526,0.0023462734122465276,0.5076379481067272,78.4,800,0.05,63,20,0.85,0.7,1.0
0.4702223290989654,0.003116089055871289,0.5151249268793267,49.9,500,0.03,63,50,0.85,0.85,0.0
0.4700646836512416,0.0013921156497928504,0.5112001111237833,48.6,500,0.05,63,20,0.85,0.7,0.0
0.46985883968896514,0.0027216370634913388,0.5179710335175347,30.7,500,0.03,31,50,0.7,0.85,1.0
0.4697513626068828,0.003591668946286741,0.5168542564595303,44.5,800,0.03,31,100,0.7,1.0,5.0
0.46953460754777393,0.0035024433538790763,0.49375167898758,156.5,500,0.05,255,100,1.0,1.0,1.0
0.46927414396006556,0.0021565268049347224,0.5141704044597954,30.8,300,0.05,63,50,0.85,0.7,0.0
0.4690624852275726,0.0023920738976271516,0.5164615391295869,33.9,300,0.03,63,50,1.0,0.85,5.0
0.4686817337261777,0.0022474979295017843,0.5178403692634844,19.0,300,0.03,31,50,1.0,0.7,5.0
0.46785191945659416,0.001758714776646649,0.49939800193049244,135.8,800,0.05,127,200,0.7,1.0,5.0
0.4675558288689164,0.0029983931283330237,0.5140331081048609,28.4,500,0.05,31,100,0.85,0.7,1.0
0.4665101239158547,0.0017109016617481332,0.5099712922934607,28.8,500,0.1,31,100,0.7,0.7,5.0
0.4658709668344317,0.0013513399069551351,0.49602987877384735,76.1,800,0.1,63,100,0.7,0.85,5.0
0.4633661556428601,0.001966431309901068,0.4996911256335826,50.5,500,0.1,63,200,1.0,0.7,1.0
0.45925736804661826,0.0013977279112926005,0.46506318165893895,250.9,800,0.1,255,100,1.0,1.0,5.0
0.45890529158433857,0.0023776525521737005,0.4719027541479903,159.6,500,0.1,255,200,1.0,1.0,1.0
