macro_f1,macro_f1_std,balanced_acc,secs,n_estimators,learning_rate,num_leaves,min_child_samples,colsample_bytree,subsample,reg_lambda
0.4729886200880666,0.001265357532422502,0.50394805100658,186.5,500,0.03,255,20,1.0,0.7,5.0
0.4708515980014835,0.0013550344752445403,0.5122725513235414,50.3,500,0.05,63,50,1.0,0.7,0.0
0.47048501376804963,0.0014075659191176806,0.5120439266554908,80.4,800,0.03,63,20,1.0,0.85,0.0
0.4702968460679087,0.0008554261560061745,0.5051316926025865,93.0,500,0.05,127,100,0.7,0.7,0.0
0.4702078743010774,0.0021225623883377137,0.5129014984641542,52.7,500,0.05,63,20,0.7,0.85,5.0
0.4701843770289207,0.0005977538144816484,0.5115702921782628,90.3,500,0.03,127,100,1.0,1.0,1.0
0.4696804670071772,0.0016563431088860872,0.5108675128280503,53.7,300,0.05,127,100,0.85,1.0,1.0
0.4695243073701514,0.0006098795797989622,0.5025299859900039,175.7,500,0.03,255,200,0.85,0.85,5.0
0.4689584686339649,0.0005692022140891577,0.5006591168397138,46.9,300,0.1,127,50,0.85,1.0,0.0
0.4689412921700303,0.0024632631971928604,0.511816758575882,75.6,800,0.03,63,50,1.0,1.0,0.0
0.46840858866023544,0.0027401846778444296,0.5060905305576734,44.7,800,0.1,31,50,0.85,0.85,0.0
0.46809514648744277,0.0014647236667112771,0.5094667461965088,58.8,300,0.05,127,200,0.85,0.7,5.0
0.4673921166027417,0.0009328751974968892,0.499317533690391,53.6,300,0.1,127,100,0.85,0.85,0.0
0.4670911683837043,0.0030688816609481385,0.5144091111146105,28.4,500,0.05,31,100,0.85,1.0,5.0
0.4670753974502266,0.002296197212071485,0.5094242737297606,27.5,500,0.1,31,50,1.0,1.0,1.0
0.46704493957820814,0.0014618105681766475,0.5121075660562874,47.2,800,0.05,31,200,0.85,1.0,5.0
0.46704463333050605,0.0011125735171649232,0.4787741001208028,142.6,800,0.1,127,20,1.0,0.85,1.0
0.4670227421648758,0.0019919500544953992,0.5145531339842336,46.5,800,0.03,31,100,1.0,1.0,5.0
0.4664739961879871,0.0013806385040374452,0.5050967903175024,85.5,800,0.05,63,200,0.85,0.7,1.0
0.4661880467216406,0.0020679585205790082,0.48637967027246787,106.8,300,0.1,255,50,0.85,0.7,5.0
0.4659772193220901,0.001466736917482582,0.5014143195767243,49.2,500,0.1,63,100,0.7,0.85,1.0
0.4658185097050669,0.0033010613789710374,0.5119481288167661,16.9,300,0.1,31,200,0.7,1.0,0.0
0.46271307679105944,0.001999355975937633,0.49421925263907096,84.6,800,0.1,63,200,0.7,0.7,5.0
0.46166526821697645,0.0015402216005189684,0.4765249578928575,156.0,800,0.1,127,50,1.0,0.7,5.0
