macro_f1,macro_f1_std,balanced_acc,secs,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,gamma
0.4512573652680258,0.001096569932125456,0.5172099362288162,63.2,500,0.1,10,20,0.85,1.0,1.0,0.0
0.4482861783944741,0.002171667637210835,0.5126175852180866,55.1,500,0.1,8,1,0.7,1.0,1.0,0.5
0.44769167511088054,0.0024686516451216294,0.5247931369204868,51.5,500,0.1,8,5,0.85,1.0,1.0,0.5
0.44542895659257264,0.001229195982799226,0.5357448008548032,43.9,500,0.1,8,5,1.0,0.7,0.0,0.0
0.4448713844899023,0.0010622753933998176,0.5360562823963367,44.3,500,0.1,8,5,1.0,0.85,1.0,0.0
0.44423799441964973,0.0016317474281061174,0.5489015565657089,59.4,800,0.03,10,1,0.85,0.85,0.0,2.0
0.4423506542175523,0.0010392041775398732,0.5556726527952532,65.7,500,0.03,10,20,0.7,0.7,0.0,0.5
0.44110750297018697,0.002105440230582926,0.5450237472193155,26.6,300,0.1,8,1,1.0,0.7,1.0,0.0
0.4392637564366914,0.0010887833800207502,0.5449391303449962,58.7,800,0.1,6,20,0.85,0.7,1.0,0.0
0.4390375081381089,0.001714309314570888,0.5499813397540123,20.2,300,0.1,8,1,0.85,1.0,0.0,2.0
0.4380942363294153,0.001899390547812921,0.5586838393137177,26.4,300,0.05,10,20,0.85,0.85,1.0,2.0
0.43781534286522233,0.0017344316586649134,0.5563417558302454,78.6,800,0.03,8,20,0.85,0.7,5.0,0.5
0.4368981240435084,0.0024595529920288755,0.5589646925613875,41.6,300,0.03,10,20,0.7,1.0,1.0,0.5
0.42639857237936124,0.0027929333662675246,0.5589219769944241,27.5,500,0.1,4,20,0.85,0.85,5.0,0.0
0.42114635740018896,0.0020169419016207884,0.5586721899460124,39.8,800,0.03,4,1,1.0,1.0,5.0,0.0
0.41996699637210316,0.0021403525295806036,0.5589506963758821,30.3,800,0.03,4,20,1.0,0.85,5.0,2.0
