move_f1,move_f1_std,rmse,secs,n_estimators,learning_rate,num_leaves,min_child_samples,colsample_bytree,subsample,reg_lambda
0.3637006078224221,0.0037773009148614443,0.3206493264632506,52.2,500,0.1,255,100,0.7,0.7,1.0
0.36039463960871204,0.0033544636261027896,0.3202651957433489,51.6,500,0.1,255,100,1.0,0.85,5.0
0.35939687293539907,0.003429107510868591,0.3194018539881089,42.6,800,0.1,127,50,0.7,0.7,0.0
0.3582626258325983,0.0029409689617240025,0.31749864372412356,42.4,800,0.1,127,50,1.0,0.85,5.0
0.3574817966025337,0.004498670686243571,0.31732833375651986,85.0,800,0.05,255,100,1.0,0.7,5.0
0.354557768299975,0.0028940093621617046,0.3163069642723355,49.1,500,0.1,255,20,1.0,1.0,1.0
0.35282039676846205,0.0032104536405523454,0.3147619056320485,24.9,800,0.1,63,200,0.85,0.7,0.0
0.34964907562822245,0.0019564309025446925,0.3125561038928895,87.4,800,0.03,255,200,0.7,0.7,0.0
0.3490747774599902,0.0021890046486504715,0.3127320345112114,45.2,800,0.05,127,200,0.7,0.85,0.0
0.34886967149533654,0.001753443005548568,0.31200694519400485,41.8,800,0.05,127,100,0.85,1.0,5.0
0.34810104397758046,0.002533384654281906,0.3136426852428418,22.9,800,0.1,63,50,0.7,0.85,5.0
0.34787997321656233,0.0019698854018477853,0.3124430400043114,42.5,800,0.05,127,50,1.0,0.85,5.0
0.347705438386908,0.0036281957575240325,0.3127180213781752,15.3,500,0.1,63,100,0.85,0.7,5.0
0.34669264459926824,0.0031435886729765774,0.311100137463365,32.2,300,0.05,255,200,1.0,1.0,5.0
0.3445552646600259,0.002408483822950986,0.31103850645354014,14.2,500,0.1,63,50,0.85,1.0,5.0
0.3436951076868699,0.0027431466536249976,0.31042840927267373,43.3,800,0.03,127,20,0.85,0.7,1.0
0.34303191680510375,0.001853104843154086,0.3098188945439138,22.3,800,0.05,63,50,0.85,1.0,1.0
0.3399966367155014,0.0025139805432772685,0.30870587676384975,17.1,300,0.03,127,50,1.0,0.85,1.0
0.3391607838154644,0.0029003046273822983,0.3079673911774406,10.2,300,0.03,63,200,0.85,0.7,0.0
0.339129456242377,0.0017114079457301295,0.3086562331388445,17.2,300,0.03,127,20,1.0,0.7,1.0
0.3389843663365842,0.001996601196152949,0.3085375578614684,9.4,300,0.05,63,50,1.0,0.85,0.0
0.33889384594350264,0.002865978373709236,0.30802871638440543,9.9,300,0.03,63,100,0.85,0.7,1.0
0.3381410231023411,0.0020531270743879655,0.3083818135465127,8.8,500,0.05,31,20,0.7,0.7,5.0
0.338115920981846,0.0016887454353359233,0.3075646407936729,8.9,500,0.03,31,20,0.7,1.0,5.0
