macro_f1,macro_f1_std,balanced_acc,secs,n_estimators,learning_rate,num_leaves,min_child_samples,colsample_bytree,subsample,reg_lambda
0.7242036639728305,0.0026058929557702874,0.7995288963409738,54.9,800,0.05,127,50,1.0,0.85,5.0
0.721806786987512,0.0016601896979325458,0.7925282771885764,51.8,800,0.05,127,200,0.7,0.85,0.0
0.7209195860581276,0.0024270194924022413,0.7434555787696474,101.7,800,0.05,255,100,1.0,0.7,5.0
0.7194500961209901,0.0018594010019251743,0.815552370526738,51.1,800,0.05,127,100,0.85,1.0,5.0
0.7182046589857922,0.0021354941867451514,0.7186375533963002,59.4,500,0.1,255,20,1.0,1.0,1.0
0.716069938968363,0.003118439674586091,0.7347085653302564,61.6,800,0.1,127,50,1.0,0.85,5.0
0.7158495591335244,0.0018326593848909808,0.779713338904838,30.3,800,0.1,63,200,0.85,0.7,0.0
0.7139799788412651,0.004654406570875879,0.8395891889396649,47.1,300,0.05,255,200,1.0,1.0,5.0
0.71244181885446,0.004911914375103219,0.7120834164277204,67.3,500,0.1,255,100,0.7,0.7,1.0
0.7076237080850368,0.003041237569038294,0.7059972872918122,51.9,800,0.1,127,50,0.7,0.7,0.0
0.7064466613152467,0.0024205732148616286,0.8413620002242309,17.7,500,0.1,63,50,0.85,1.0,5.0
0.702331882293171,0.004531015323860839,0.8461576074838443,27.6,800,0.05,63,50,0.85,1.0,1.0
0.6879843644085059,0.0018344462510969824,0.874736907623395,20.9,300,0.03,127,50,1.0,0.85,1.0
0.669599847465824,0.002070870003182975,0.8798044217124744,12.4,500,0.05,31,20,0.7,0.7,5.0
0.6676843230809072,0.0018889643146149258,0.8826820206677782,12.2,300,0.03,63,100,0.85,0.7,1.0
0.6598723099855147,0.0023082177828011477,0.8825692538851978,11.8,500,0.03,31,20,0.7,1.0,5.0
