move_f1,move_f1_std,rmse,secs,n_estimators,learning_rate,num_leaves,min_child_samples,colsample_bytree,subsample,reg_lambda
0.38549285410839523,0.0018765514948917588,1.189889956998086,45.6,800,0.1,127,50,1.0,0.7,5.0
0.38309276064559183,0.0017833004657430054,1.1739835247999897,29.4,300,0.1,255,50,0.85,0.7,5.0
0.3795305445589315,0.0002758219417052695,1.156681060568445,26.6,800,0.1,63,200,0.7,0.7,5.0
0.3781231975508667,0.0030487029083163704,1.180127541675463,40.6,800,0.1,127,20,1.0,0.85,1.0
0.36931558196973957,0.0018771514902192054,1.1518107251275629,20.0,300,0.1,127,100,0.85,0.85,0.0
0.36498372931443773,0.002264555913850096,1.1458830198248442,33.8,500,0.05,127,100,0.7,0.7,0.0
0.36402933442225427,0.0011840473899336775,1.147709064744338,17.0,500,0.1,63,100,0.7,0.85,1.0
0.36350630748253715,0.002271138438226916,1.142766888387537,23.8,800,0.05,63,200,0.85,0.7,1.0
0.363256009810556,0.0009395450819982518,1.1490876968522943,15.0,300,0.1,127,50,0.85,1.0,0.0
0.36175967877792786,0.0029257922432811547,1.140322117504639,50.9,500,0.03,255,200,0.85,0.85,5.0
0.3575731692903894,0.002512823458476371,1.1517107819501544,53.2,500,0.03,255,20,1.0,0.7,5.0
0.35702729527087085,0.002416633479954958,1.1490886967553438,12.0,800,0.1,31,50,0.85,0.85,0.0
0.35613958185393235,0.0020438698305666613,1.1376447863147312,17.8,300,0.05,127,200,0.85,0.7,5.0
0.3503586514256125,0.0025944194898919895,1.1418096459951963,15.7,500,0.05,63,50,1.0,0.7,0.0
0.3500826090947062,0.0008126046386434808,1.1362701474134334,20.4,300,0.05,127,100,0.85,1.0,1.0
0.34952792689703466,0.002237525371301746,1.1380519782225698,25.9,500,0.03,127,100,1.0,1.0,1.0
0.34807552276793907,0.002649250150948648,1.138656825162666,8.0,500,0.1,31,50,1.0,1.0,1.0
0.34598890263934384,0.0005162003976214872,1.1336926558360092,12.5,800,0.05,31,200,0.85,1.0,5.0
0.34415091217520083,0.0001165924018704162,1.1319656732133054,6.0,300,0.1,31,200,0.7,1.0,0.0
0.3440909262014001,0.001166774743152008,1.1371785903413196,26.1,800,0.03,63,50,1.0,1.0,0.0
0.3432822029432358,0.0002427555751089767,1.1380084569106341,13.7,500,0.05,63,20,0.7,0.85,5.0
0.34268438598570317,0.002357382126231193,1.139913632159317,22.6,800,0.03,63,20,1.0,0.85,0.0
0.33905804178366533,0.0010304225802495529,1.131522213513643,9.1,500,0.05,31,100,0.85,1.0,5.0
0.33873820125561455,0.0005737216488260427,1.1320130049620272,12.3,800,0.03,31,100,1.0,1.0,5.0
