macro_f1,macro_f1_std,balanced_acc,secs,n_estimators,learning_rate,num_leaves,min_child_samples,colsample_bytree,subsample,reg_lambda
0.4726814793169673,0.0009068889928990941,0.5042193376000018,178.4,500,0.03,255,20,1.0,0.7,5.0
0.4710796030443521,0.00018504537578208235,0.5130015824026875,77.6,800,0.03,63,20,1.0,0.85,0.0
0.47021588342707715,0.0007670335943639194,0.5134738557299436,50.4,500,0.05,63,20,0.7,0.85,5.0
0.4693327159684231,0.0003183655655986138,0.5103496158111973,51.9,300,0.05,127,100,0.85,1.0,1.0
0.46885448773957883,0.001435365766588742,0.5095564142568674,86.5,500,0.03,127,100,1.0,1.0,1.0
0.4687951553481701,0.00015935117185727316,0.5113910574082965,73.7,800,0.03,63,50,1.0,1.0,0.0
0.46874993295737594,0.0016850257792323609,0.5103096498001705,48.3,500,0.05,63,50,1.0,0.7,0.0
0.4687266956690092,0.0007802118535577737,0.5010007522619505,49.3,300,0.1,127,50,0.85,1.0,0.0
0.4685484634166192,0.0016553445281791495,0.5018886214976201,169.4,500,0.03,255,200,0.85,0.85,5.0
0.4684527170753872,0.0007600024263706836,0.504769072688081,46.8,500,0.1,63,100,0.7,0.85,1.0
0.46837020581827876,0.0009069573678521371,0.5111939659385017,26.7,500,0.1,31,50,1.0,1.0,1.0
0.4679451327993951,0.00028527027750790783,0.500301739570099,50.9,300,0.1,127,100,0.85,0.85,0.0
0.4678671831389927,0.0004676670436680309,0.5156224073273008,27.1,500,0.05,31,100,0.85,1.0,5.0
0.46746668565934324,0.0004738026921880269,0.5051516038830973,42.8,800,0.1,31,50,0.85,0.85,0.0
0.4674008779711521,0.0006371158534844125,0.5023158823330575,88.1,500,0.05,127,100,0.7,0.7,0.0
0.46702605610330195,0.0006002022482776018,0.5146903620457798,45.7,800,0.03,31,100,1.0,1.0,5.0
0.46677069046984204,0.0007420037219912306,0.5079308646670442,59.6,300,0.05,127,200,0.85,0.7,5.0
0.4666632191622741,0.0007388945268654919,0.5133776601001959,16.3,300,0.1,31,200,0.7,1.0,0.0
0.4664896384362003,0.0006261089343267041,0.5115108070980671,44.5,800,0.05,31,200,0.85,1.0,5.0
0.4663285962644786,0.0009837344381158045,0.48697437442442437,103.3,300,0.1,255,50,0.85,0.7,5.0
0.46626853738883495,0.0015362658820785961,0.47797775419389193,137.3,800,0.1,127,20,1.0,0.85,1.0
0.46493824474888285,0.0011279254103220059,0.5036363411393631,81.5,800,0.05,63,200,0.85,0.7,1.0
0.46239885676850623,0.0020574397260839012,0.4775736910426392,146.3,800,0.1,127,50,1.0,0.7,5.0
0.4597831819146508,0.0014341310834586846,0.4908551756549843,81.1,800,0.1,63,200,0.7,0.7,5.0
