macro_f1,macro_f1_std,balanced_acc,secs,n_estimators,learning_rate,num_leaves,min_child_samples,colsample_bytree,subsample,reg_lambda
0.4566233010228509,0.0014165926768457745,0.5300816073884597,255.6,500,0.03,255,20,1.0,0.7,5.0
0.45567399445840895,0.0029354814581614903,0.47262775532116347,184.2,800,0.1,127,20,1.0,0.85,1.0
0.4538057116978344,0.0005050225763241679,0.49333024924671065,140.9,300,0.1,255,50,0.85,0.7,5.0
0.4519892421440442,0.0019243294658581682,0.5283359724156075,65.9,300,0.1,127,50,0.85,1.0,0.0
0.4516169379319968,0.0009606487059579787,0.5345180323855733,227.5,500,0.03,255,200,0.85,0.85,5.0
0.447747991263648,0.0006961991571157395,0.5384991974730772,58.3,800,0.1,31,50,0.85,0.85,0.0
0.44739263430698223,0.0015472217935492338,0.5134408733124634,116.4,800,0.1,63,200,0.7,0.7,5.0
0.44730115296635553,0.0006348756800754096,0.47107742174902684,215.3,800,0.1,127,50,1.0,0.7,5.0
0.4471314429471138,0.0017658612884476922,0.5510647148753344,117.6,500,0.03,127,100,1.0,1.0,1.0
0.4468155101972444,0.0011439036101157595,0.5526296753035936,106.9,800,0.03,63,20,1.0,0.85,0.0
0.44626884906194425,0.0017699566232138987,0.5378873910929919,110.3,800,0.05,63,200,0.85,0.7,1.0
0.44470368414077727,0.002545296940196719,0.5555998755170031,70.7,500,0.05,63,20,0.7,0.85,5.0
0.44382330149410737,0.0006176525233081312,0.5467176794111873,77.1,300,0.05,127,200,0.85,0.7,5.0
0.4423735269560701,0.001479107276069207,0.5510858777527792,37.8,500,0.1,31,50,1.0,1.0,1.0
0.43771043562187995,0.0013289829728403688,0.5548601282344198,62.1,800,0.05,31,200,0.85,1.0,5.0
0.43465553395781437,0.0013358276218999375,0.5593682418827456,62.5,800,0.03,31,100,1.0,1.0,5.0
