macro_f1,macro_f1_std,balanced_acc,secs,n_estimators,learning_rate,num_leaves,min_child_samples,colsample_bytree,subsample,reg_lambda
0.46602594263688557,0.00109923699588497,0.5129347480953212,363.5,800,0.03,255,50,0.85,0.85,0.0
0.46242581770626945,0.0006935204350866466,0.5196248078748107,387.5,800,0.03,255,100,0.85,0.85,5.0
0.4600858474662495,0.0012898791855293105,0.48770925394125936,208.1,800,0.1,127,20,1.0,0.85,5.0
0.4571607641197873,0.00027800907302423186,0.5379524724735231,135.3,300,0.05,255,100,0.85,1.0,0.0
0.455690887190716,7.255931957857231e-05,0.5260455756787553,194.1,800,0.05,127,200,0.7,1.0,0.0
0.45314111945455887,0.0012101554150671752,0.5381816802697146,64.7,500,0.1,63,20,0.85,1.0,0.0
0.45036677170530814,0.0015209411254768527,0.5478979021891203,107.0,800,0.05,63,50,1.0,1.0,5.0
0.4498613100467335,0.002146694172622992,0.5102390603596286,116.3,800,0.1,63,200,0.85,0.7,1.0
0.4418018314197374,0.0020393496396900837,0.5542049728397309,69.2,800,0.05,31,200,1.0,0.7,0.0
0.4409476911994364,0.0014417752957034855,0.5604956828223205,44.6,300,0.05,63,100,1.0,0.85,1.0
0.4408710643374765,0.0016537000063931622,0.5600691987380003,79.2,300,0.03,127,200,0.85,1.0,5.0
0.43986169664369595,0.0007195679946839923,0.548569287990769,42.7,500,0.1,31,200,0.7,0.7,5.0
0.4379868249749152,0.0009881210900880228,0.5624620980117372,38.6,500,0.05,31,50,1.0,1.0,0.0
0.4353805835681875,0.0007945588250799355,0.5631170427039168,46.9,300,0.03,63,200,0.85,0.85,5.0
0.43479994795801763,0.001029862425002104,0.563332526557916,44.9,300,0.03,63,200,1.0,1.0,0.0
0.43433748664006017,0.0006572410188324205,0.5646188933248908,44.4,500,0.03,31,100,0.85,0.85,5.0
