macro_f1,macro_f1_std,balanced_acc,secs,n_estimators,learning_rate,num_leaves,min_child_samples,colsample_bytree,subsample,reg_lambda
0.7218557816097552,0.0035837739418020094,0.7650345111180271,93.2,800,0.03,255,50,0.85,0.85,1.0
0.7175306398126811,0.005177492509923069,0.7921585513673491,52.3,800,0.05,127,20,1.0,0.85,5.0
0.7140384354427093,0.0058082735790659775,0.7156428010425072,89.8,800,0.05,255,20,0.7,1.0,0.0
0.7119051837964809,0.004654474011128977,0.8142901370233097,48.5,800,0.05,127,200,0.7,1.0,5.0
0.7107315300722616,0.001170937483500563,0.7047089846382523,94.4,800,0.1,255,100,1.0,1.0,5.0
0.7028930314115733,0.002863016446700228,0.8290885454998689,29.5,800,0.05,63,20,0.85,0.7,1.0
0.6990726156806736,0.004712712064340226,0.85020503082252,31.8,500,0.03,127,50,1.0,0.85,0.0
0.6904906250591156,0.0036204405623284416,0.8523246381197055,17.9,500,0.05,63,20,0.85,0.7,0.0
0.6858458403552034,0.0029373721083265215,0.8663538597993671,20.0,300,0.03,127,20,1.0,0.7,0.0
0.6806582611933315,0.0012664251790483218,0.8632823790652638,11.4,500,0.1,31,100,0.7,0.7,5.0
0.6758703917826973,0.001870194948185601,0.8755796472965921,18.1,500,0.03,63,50,0.85,0.85,0.0
0.6752961587687493,0.0022115577752226914,0.8719133381566407,11.1,300,0.05,63,50,0.85,0.7,0.0
0.6678650405419292,0.0008800092165464332,0.8769501017351692,11.3,500,0.05,31,100,0.85,0.7,1.0
0.6618682717952972,0.0013489976170844643,0.8792100947227981,16.1,800,0.03,31,100,0.7,1.0,5.0
0.6569958002224362,0.001252277786987787,0.8809734351606924,11.2,500,0.03,31,50,0.7,0.85,1.0
0.6486276236336821,0.002084350404417878,0.8803081253647814,7.3,300,0.03,31,50,1.0,0.7,5.0
