macro_f1,macro_f1_std,balanced_acc,secs,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,gamma
0.4559444660314263,0.004444311463730602,0.5162857683515559,138.8,800,0.03,10,1,0.7,0.85,0.0,0.0
0.45372744596113934,0.0026857591098409963,0.5301039644217709,79.0,500,0.05,10,1,1.0,0.85,0.0,0.0
0.45004065373512137,0.003802717469644409,0.5444551539273755,27.3,500,0.1,10,1,0.85,1.0,0.0,2.0
0.44408516871348874,0.003371659697534134,0.5554577796107675,45.5,500,0.05,8,5,0.7,0.85,0.0,2.0
0.4424249760099624,0.0030466711129696475,0.5589458288333936,38.5,300,0.03,10,5,0.85,0.7,1.0,2.0
0.44125581782218454,0.0037533010629037444,0.5589042605135122,15.8,300,0.1,10,1,1.0,0.85,5.0,2.0
0.4400508866855429,0.004300508044160316,0.5621469136117704,33.1,800,0.05,10,20,1.0,0.85,1.0,2.0
0.4391509210653513,0.0038778388302872177,0.5626354460546348,36.9,300,0.03,10,20,0.85,0.85,5.0,2.0
0.4353870980661762,0.0032547091739059154,0.5605799868877592,35.7,300,0.03,8,1,1.0,0.7,5.0,0.5
0.4344127223428707,0.0032642653824063667,0.5600243099582848,40.2,500,0.05,6,5,0.85,0.7,5.0,0.5
0.4339821750763455,0.003787238845706551,0.5618588846066929,56.7,800,0.03,6,20,1.0,0.7,0.0,0.0
0.4338644191252981,0.003609746287783257,0.5597115996582226,21.4,300,0.1,6,20,1.0,1.0,1.0,0.0
0.43325637764178054,0.0039810086120582395,0.5622735733802511,31.1,500,0.05,6,20,1.0,0.85,0.0,0.5
0.4308687948865802,0.0030105013119225868,0.5605681615807034,27.6,500,0.1,4,1,0.85,0.7,0.0,0.5
0.4300539586686019,0.003597863275677033,0.5617960230985258,23.2,300,0.05,6,20,1.0,1.0,1.0,0.5
0.4272699311175127,0.004087182503492489,0.5612245049150307,29.0,500,0.05,4,1,0.7,0.85,0.0,0.0
