macro_f1,macro_f1_std,balanced_acc,secs,n_estimators,learning_rate,num_leaves,min_child_samples,colsample_bytree,subsample,reg_lambda
0.4737166195358366,0.001706911401466562,0.4969386006834293,258.9,800,0.03,255,50,0.85,0.85,0.0
0.4704786228699161,0.0006990025258738607,0.5043453669073006,93.5,300,0.05,255,100,0.85,1.0,0.0
0.4704230228344585,0.0019785865101726095,0.49640348671585294,271.4,800,0.03,255,100,0.85,0.85,5.0
0.4699922298850596,0.00025396659627258513,0.5060374377678141,46.0,500,0.1,63,20,0.85,1.0,0.0
0.4696535925588398,0.0013448958426262995,0.5137208086795292,83.4,800,0.03,63,50,0.85,0.7,1.0
0.4694022309532724,0.0011851032442622984,0.5180048980664818,48.9,800,0.03,31,50,1.0,0.85,1.0
0.4688971876146068,0.0004680901541519468,0.509414588378129,75.2,800,0.05,63,50,1.0,1.0,5.0
0.46853399182794925,0.0016211513184544073,0.5168830061041252,30.0,500,0.05,31,20,0.7,0.7,0.0
0.46826395219650613,0.0002665110701023292,0.49110944033775245,93.7,300,0.1,255,100,0.7,1.0,0.0
0.4681875598095883,0.0012068539992167373,0.5184783406040018,33.9,300,0.03,63,200,0.85,0.85,5.0
0.4680823284848161,0.00035031908588798816,0.49969731382894356,139.0,800,0.05,127,200,0.7,1.0,0.0
0.4678968609591791,0.0011861577202113536,0.5150762544930224,55.7,300,0.03,127,200,0.85,1.0,5.0
0.4677005187440828,0.0011349918675578772,0.5184827984294923,33.2,500,0.03,31,100,0.85,0.85,5.0
0.46762780791675423,0.0008733366214234164,0.5159692827568239,27.9,500,0.05,31,50,1.0,1.0,0.0
0.4674872471709241,0.0012182417250383773,0.5148929435195718,30.6,300,0.05,63,100,1.0,0.85,1.0
0.4674211256039007,0.000999931881781013,0.5173441684926616,33.5,300,0.03,63,200,1.0,0.85,1.0
0.46729485512728,0.0010240402198326368,0.5176571014373894,35.2,300,0.03,63,200,1.0,1.0,0.0
0.4669557021271716,0.0010146472908149616,0.5124532646987188,78.6,800,0.03,63,200,0.85,1.0,1.0
0.466861273356097,0.001188214714901222,0.4987623189089172,55.4,300,0.1,127,50,1.0,0.7,1.0
0.46645589015221717,0.0016447903912463753,0.48168101056905627,143.5,800,0.1,127,20,1.0,0.85,5.0
0.466069380241623,0.0012548458494359032,0.5124782857086418,48.9,800,0.05,31,200,1.0,0.7,0.0
0.4650185605106809,0.001254442536729806,0.5104573393731835,30.7,500,0.1,31,200,0.7,0.7,5.0
0.46481551799820875,0.000804095839330688,0.5099885209553728,30.9,500,0.1,31,200,0.7,0.7,1.0
0.4603596157412598,0.0013768736192747238,0.49180685495839743,80.0,800,0.1,63,200,0.85,0.7,1.0
