macro_f1,macro_f1_std,balanced_acc,secs,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,gamma
0.45278796925466963,0.0022606861385681817,0.5307644282399131,91.0,500,0.05,10,5,0.7,0.7,1.0,0.5
0.45146370007736075,0.000768648889736205,0.5408761312391229,67.4,800,0.05,10,1,0.7,0.85,0.0,2.0
0.4481737619134345,0.0014507913418376286,0.527639838944176,55.8,500,0.05,10,1,1.0,1.0,1.0,0.0
0.4468804676903049,0.0009154287165901461,0.5495659436520796,35.9,500,0.05,10,1,0.85,0.7,0.0,2.0
0.4413564257016922,0.001232688503636652,0.5507897593624679,42.3,300,0.03,10,1,1.0,0.85,1.0,0.0
0.4391381611485932,0.001136540841594345,0.5559131954865429,54.4,500,0.03,8,5,0.7,0.85,1.0,0.0
0.438669880429755,0.0012049459069761726,0.556129637504713,27.2,500,0.05,10,5,1.0,1.0,1.0,2.0
0.4367334016062679,0.0014486904510990688,0.5582877774418317,52.9,500,0.03,8,20,0.7,1.0,1.0,0.5
0.4367089895557259,0.001860023048398441,0.5558431629454227,27.0,300,0.05,8,5,0.7,1.0,1.0,2.0
0.43664761510052413,0.0015546846147954623,0.5601485285310334,25.8,500,0.05,10,20,1.0,0.85,5.0,2.0
0.4355780854015789,0.0008512058475234528,0.5536506818240471,23.8,300,0.1,6,1,0.7,0.7,0.0,0.0
0.4332009809533262,0.0009121615214008897,0.5597263575065482,23.7,500,0.05,6,1,0.85,0.7,0.0,2.0
0.4315085562233914,0.0014876940582830183,0.5600093071991762,31.0,800,0.1,4,1,0.85,0.7,5.0,2.0
0.42977161364965055,0.0004034186993330289,0.5601038873066106,27.7,300,0.05,6,1,1.0,0.85,1.0,0.0
0.4273033128442498,0.0005346200875604262,0.5593809592289207,25.5,300,0.03,6,1,0.7,0.7,0.0,0.5
0.4199684044736854,0.0009970455346386881,0.5555076011594835,16.2,300,0.03,4,5,1.0,0.7,5.0,0.5
