model,label,runs_source,summary_source,n,mean,sd,se,min,max,published_mean,published_se,mean_abs_diff,se_abs_diff,reproduced
dl_ensemble,Tuned deep-learning ensemble,clf_dl_holdout_runs.csv,clf_dl_holdout_summary.csv,5,0.5128398588101899,0.002515307025704295,0.0011248794987515228,0.5103099499950021,0.5165337986210636,0.5128398588101898,0.0011248794987515,1.1102230246251565e-16,2.2768245622195593e-17,True
direct_xgb,Direct XGBoost,clf_direct_holdout_runs.csv,clf_direct_holdout_summary.csv,5,0.43926856531227954,0.0020493957353504015,0.0009165176354083333,0.4362523733615384,0.4415926559543877,0.4392685653122795,0.0009165176354083,5.551115123125783e-17,3.3285006695304986e-17,True
direct_lgbm,Direct LightGBM,clf_direct_holdout_runs.csv,clf_direct_holdout_summary.csv,5,0.437946689386029,0.0018640627021028226,0.0008336341832447703,0.434924553259484,0.4398485689075474,0.437946689386029,0.0008336341832447,0.0,7.025630077706069e-17,True
twostage_tuned,Tuned two-stage classifier,clf_twostage_runs.csv,clf_twostage_summary.csv,5,0.4386786784853278,0.005774808816017165,0.002582573013935891,0.4343105526343427,0.4458463391681125,0.4386786784853278,0.0025825730139358,0.0,9.107298248878237e-17,True
twostage_argmax,Two-stage arg-max classifier,clf_twostage_runs.csv,clf_twostage_summary.csv,5,0.41499168725058777,0.0013368302441345496,0.0005978486600524984,0.4130600607829733,0.4164649237954285,0.4149916872505878,0.0005978486600525,5.551115123125783e-17,1.5178830414797062e-18,True
twostage_ratio,Two-stage ratio regression,clf_02b_runs.csv,clf_02b_summary.csv,5,0.3484499649631171,0.0056585349106412,0.0025305737426498842,0.3422635933255409,0.3548175197370123,0.3484499649631171,0.0025305737426498,0.0,8.413408858487514e-17,True
twostage_volume,Two-stage volume regression,clf_02b_runs.csv,clf_02b_summary.csv,5,0.3460524987382733,0.006322192758530245,0.002827370554986108,0.3392304248883163,0.3535987408647361,0.3460524987382734,0.0028273705549861,5.551115123125783e-17,7.806255641895632e-18,True
