accuracy,balanced_acc,macro_f1,weighted_f1,model,run,seed,best_tau,n_holdout
0.48812952222224165,0.5718444071975388,0.434924553259484,0.5157418738726718,Direct LightGBM,0,42,0.475,571207
0.471291493276518,0.5676296776085303,0.41480938219185803,0.5020514753979709,Two-stage (arg-max),0,42,0.475,571207
0.48913966390467906,0.5712576266285286,0.4347018984168718,0.516898271024723,Two-stage (tuned),0,42,0.475,571207
0.4921372729302437,0.573089383682654,0.43890503343395015,0.5192532845455977,Direct LightGBM,1,43,0.4,568823
0.47260571390397366,0.5690735113045018,0.41602209583553784,0.503234832802073,Two-stage (arg-max),1,43,0.4,568823
0.49724255172522913,0.5719179169638977,0.4440854984556817,0.5239177239489532,Two-stage (tuned),1,43,0.4,568823
0.4930025467700404,0.5738919840325535,0.4398485689075474,0.5200597341737617,Direct LightGBM,2,44,0.5,567778
0.47332936464604125,0.5692801583780466,0.41646492379542854,0.5039593166236247,Two-stage (arg-max),2,44,0.5,567778
0.48921937799632953,0.5735523612919677,0.4343105526343427,0.517002967591275,Two-stage (tuned),2,44,0.5,567778
0.4921590176580613,0.5737193067493456,0.4383569900098223,0.5195774309342011,Direct LightGBM,3,45,0.375,567786
0.46969456802386816,0.5685130098886664,0.4130600607829733,0.5009733145709285,Two-stage (arg-max),3,45,0.375,567786
0.49880412690696846,0.5719450915668011,0.44584633916811256,0.5255592785756277,Two-stage (tuned),3,45,0.375,567786
0.4910887311179849,0.57138028529698,0.4376983013193413,0.5182550143847395,Direct LightGBM,4,46,0.475,566081
0.47145373188642614,0.5679000434967446,0.4146019736471413,0.5021356338836289,Two-stage (arg-max),4,46,0.475,566081
0.4894988526376967,0.5713212252174263,0.4344491037516306,0.5171212138687362,Two-stage (tuned),4,46,0.475,566081
