model,n_runs,macro_f1_mean,macro_f1_std,macro_f1_se,balanced_acc_mean,balanced_acc_std,balanced_acc_se,accuracy_mean,accuracy_std,accuracy_se,weighted_f1_mean,weighted_f1_std,weighted_f1_se
02b regress-volume,5,0.3460524987382734,0.006322192758530246,0.0028273705549861088,0.4709282749809489,0.0008978277814729556,0.00040152079029227096,0.6063229350736051,0.005505198108572923,0.0024619994400744646,0.5292192882117873,0.004011332395311924,0.0017939223832529041
02b regress-ratio,5,0.34844996496311714,0.005658534910641177,0.002530573742649874,0.474177004059955,0.0014514642340475378,0.0006491145388479918,0.6123768959968222,0.006362610701177076,0.0028454460084399082,0.5350435041989317,0.0035046949737724212,0.0015673472403513952
Direct LightGBM comparator,5,0.43794668938602904,0.00186406270210283,0.0008336341832447735,0.5727850733918144,0.0011234912512406944,0.0005024405619800975,0.4913034181397144,0.0018996123461200597,0.0008495324673644624,0.5185774675821944,0.0017174353897519618,0.0007680604556898464
Two-stage (tuned),5,0.4386786784853278,0.0057748088160171,0.0025825730139358,0.5719988443337243,0.0009262052812358,0.0004142115939925,0.4927809146341806,0.0048192445637749,0.0021552316889594,0.5200998910018629,0.004274768521363,0.0019117346003688
Two-stage (arg-max),5,0.4149916872505878,0.0013368302441345,0.0005978486600525,0.5684792801352979,0.0007164136157549,0.0003203899089668,0.4716749743473654,0.0013893612333512,0.0006213412326152,0.5024709146556452,0.0011543461193931,0.0005162392785052
