CHURN,CONTRACTION,STABLE,EXPANSION,model,run,seed
0.4071335363201392,0.31980127008554315,0.5987815797327902,0.4139818268994632,Direct LightGBM,0,42
0.3531282806599709,0.31488925748853547,0.5836422675504057,0.40757772306852,Two-stage (arg-max),0,42
0.40654663251469036,0.3186089375098229,0.6014271365928601,0.412224887050114,Two-stage (tuned),0,42
0.41483734717997406,0.32142601952107164,0.6029320632758285,0.4164247037589265,Direct LightGBM,1,43
0.35395154029827375,0.31615861882924196,0.5849134259557502,0.4090647982588856,Two-stage (arg-max),1,43
0.4305360021219726,0.32116871521115525,0.6097703281449474,0.41486694834465143,Two-stage (tuned),1,43
0.418993006451113,0.3195916764821358,0.6040648721560472,0.4167447205408937,Direct LightGBM,2,44
0.35648720073808815,0.3143906484479899,0.5862246761338002,0.40875716986183563,Two-stage (arg-max),2,44
0.40476321636460455,0.31779296478526065,0.6016286501571427,0.4130573792303629,Two-stage (tuned),2,44
0.41332165105284946,0.32059089452207484,0.6036435617107828,0.41587185275358207,Direct LightGBM,3,45
0.34733773537265583,0.3147060275460335,0.5821574637531348,0.40803901646006907,Two-stage (arg-max),3,45
0.43599271402550094,0.32051933497010593,0.6118595660199924,0.4150137416568512,Two-stage (tuned),3,45
0.4138768059655119,0.3194177226121877,0.6023563882833667,0.41514228841629885,Direct LightGBM,4,46
0.35325170238020864,0.3129426341221658,0.5844755594494287,0.40773799863676197,Two-stage (arg-max),4,46
0.4059216451516061,0.3169630980424404,0.6024227772827132,0.4124888945297627,Two-stage (tuned),4,46
