setting,cutoff_days,derived_macro_f1,tau,stage1_renew_f1,stage2_move_f1
full data (up to E),0,0.43753702149021495,0.475,0.672665553912984,0.4695357107330623
cutoff E-7d (true),7,0.4178365135848917,0.475,0.6487862173334913,0.4592865481447876
cutoff E-14d (true),14,0.4024784871170668,0.475,0.6384023257263609,0.4455436097749755
cutoff E-30d (true),30,0.3728449940108669,0.475,0.6217274916411974,0.41555545359755497
cutoff E-60d (true),60,0.3565588581782737,0.475,0.6093834558294247,0.3995305928941755
