model,n_runs,CHURN_mean,CHURN_std,CHURN_se,CONTRACTION_mean,CONTRACTION_std,CONTRACTION_se,STABLE_mean,STABLE_std,STABLE_se,EXPANSION_mean,EXPANSION_std,EXPANSION_se
Direct LightGBM,5,0.41363246939391757,0.004259680959875712,0.001904987237748729,0.32016551664460263,0.0008353109964245934,0.0003735624340716949,0.6023556930317631,0.0021027593792920522,0.0009403825824844585,0.4156330784738328,0.001105321047972158,0.0004943146000454102
Two-stage (arg-max),5,0.3528312918898394,0.0033565136868777194,0.0015010785542534048,0.3146174372867933,0.0011525378324098356,0.0005154305879817306,0.5842826785685039,0.0015110479912900823,0.0006757612051578268,0.4082353412572145,0.0006478153287042222,0.0002897118223698023
Two-stage (tuned),5,0.4167520420356749,0.015210036451382103,0.006802135089108011,0.31901061010375703,0.00178675509041734,0.000799061168263391,0.6054216916395312,0.00499234381384062,0.002232644026959636,0.4135303701623484,0.0013228293823705577,0.0005915872843229257
