model,n_runs,CHURN_mean,CHURN_std,CHURN_se,CONTRACTION_mean,CONTRACTION_std,CONTRACTION_se,STABLE_mean,STABLE_std,STABLE_se,EXPANSION_mean,EXPANSION_std,EXPANSION_se
02b regress-volume,5,0.4181385894316706,0.014338133325789253,0.006412208157383981,0.151030672698014,0.0032974090743443144,0.0014746461679717088,0.7588093386362093,0.003618235523211528,0.001618124117701099,0.05623139418719965,0.005809044500221935,0.0025978836773635078
02b regress-ratio,5,0.4153743586688582,0.01679664491602831,0.00751168796523311,0.03774705949395375,0.0008504275409461475,0.00038032275829871434,0.7624966776525319,0.004016191393482443,0.0017960953932952698,0.17818176403712482,0.0022263323426379143,0.0009956460917289458
Direct LightGBM comparator,5,0.41363246939391757,0.004259680959875712,0.001904987237748729,0.32016551664460263,0.0008353109964245934,0.0003735624340716949,0.6023556930317631,0.0021027593792920522,0.0009403825824844585,0.4156330784738328,0.001105321047972158,0.0004943146000454102
