run,seed,single_macro_f1,full_macro_f1,recovered_frac
0,42,0.14728388913085097,0.4362523733615384,0.338
1,43,0.14807001383529833,0.4406496276684835,0.336
2,44,0.14823004247251842,0.4415926559543877,0.336
3,45,0.14788395927390502,0.4392039181581806,0.337
4,46,0.14740388819252848,0.4386442514188072,0.336
