model,n_runs,macro_f1_mean,macro_f1_std,macro_f1_se,balanced_acc_mean,balanced_acc_std,balanced_acc_se,accuracy_mean,accuracy_std,accuracy_se,weighted_f1_mean,weighted_f1_std,weighted_f1_se
Direct LightGBM,5,0.43794668938602904,0.00186406270210283,0.0008336341832447735,0.5727850733918144,0.0011234912512406944,0.0005024405619800975,0.4913034181397144,0.0018996123461200597,0.0008495324673644624,0.5185774675821944,0.0017174353897519618,0.0007680604556898464
Two-stage (arg-max),5,0.4149916872505878,0.0013368302441345843,0.000597848660052514,0.5684792801352979,0.0007164136157549563,0.0003203899089668993,0.47167497434736544,0.001389361233351205,0.0006213412326152484,0.5024709146556452,0.0011543461193931957,0.0005162392785052548
Two-stage (tuned),5,0.4386786784853278,0.005774808816017179,0.002582573013935898,0.5719988443337243,0.0009262052812358526,0.00041421159399253533,0.4927809146341806,0.00481924456377493,0.0021552316889594126,0.5200998910018629,0.0042747685213630725,0.0019117346003688182
