epoch,train_loss,val_macro_f1,secs
0,1.0649679127586067,0.4180067976695281,44.6
1,1.0336936945426567,0.42960701326317785,41.2
2,1.027243437941115,0.4224292716242632,42.8
3,1.0232496487804952,0.42395245536964354,42.3
4,1.020951208701014,0.4294821009725485,42.6
5,1.018797483449221,0.42432858593717593,42.5
