setting,cutoff_days,n_features,macro_f1,macro_f1_std,balanced_acc
full data (up to E),0,29,0.43800316664356104,0.0005624983239812362,0.5705820451744062
cutoff E-7d (true),7,29,0.4221245003023446,0.00015633804808775096,0.5488997799778427
cutoff E-14d (true),14,29,0.40662910412258624,0.00022413991773345844,0.5294017675473532
cutoff E-30d (true),30,29,0.3769155785218983,0.0005887380732131753,0.4891394705732828
cutoff E-60d (true),60,29,0.3592974757347645,0.0006944477940646617,0.47049928343712333
