accuracy,balanced_acc,macro_f1,weighted_f1,test_month,test_n
0.493,0.5485,0.4448,0.5182,1,529739
0.5134,0.5837,0.4502,0.5406,2,544016
0.5301,0.6007,0.4695,0.5567,3,545746
0.5117,0.5459,0.444,0.5425,4,551922
0.5012,0.5972,0.4524,0.5278,5,566274
