model,macro_f1,macro_f1_std,balanced_acc,secs
LightGBM,0.43862990739230456,0.0038867781497106788,0.5550491492508843,47.3
XGBoost,0.43651822508093924,0.004474978603063424,0.5503946588913333,32.4
RandomForest,0.42699827080605973,0.002577774294904884,0.5510702288190955,64.9
HistGB,0.4266926440366172,0.003355111465306913,0.5606369657905542,8.7
CatBoost,0.42479811033552334,0.0027147916474317786,0.5585113716641962,298.4
LogReg,0.41108007744448977,0.002251592485469438,0.5352715021567703,17.7
