run,seed,feature,gain,gain_share
0,42,pre_total_secs,12.513744354248047,0.004300472930506314
0,42,pre_n_days,34.315216064453125,0.011792765906997281
0,42,pre_rate,8.573630332946777,0.0029464134889801348
0,42,pre_list_price,12.485005378723145,0.00429059649522071
0,42,pre_amount_paid,25.4373836517334,0.008741810342325533
0,42,payment_plan_days,20.614809036254883,0.00708448452503953
0,42,payment_method_id,53.39262390136719,0.01834890719168216
0,42,is_auto_renew,2130.088134765625,0.7320260110669893
0,42,is_cancel,242.09469604492188,0.08319825445426417
0,42,n_hist_txns,17.232452392578125,0.005922103963660055
0,42,mean_hist_price,11.165614128112793,0.003837174545932563
0,42,median_hist_paid,10.761298179626465,0.0036982273417532495
0,42,cancel_rate,32.953025817871094,0.011324635656307199
0,42,auto_renew_rate,39.033973693847656,0.013414413982614433
0,42,mode_pay_method,12.483922958374023,0.0042902245106828255
0,42,tenure_days,12.825697898864746,0.004407678874324736
0,42,recency_days,49.38100051879883,0.01697027284565887
0,42,has_hist_txn,0.0,0.0
0,42,n_prior_renewals,19.912738800048828,0.0068432110931515465
0,42,n_prior_cancels,23.096128463745117,0.007937214669413844
0,42,n_prior_autorenew,58.20185852050781,0.020001648586310955
0,42,prior_renewal_rate,21.9796142578125,0.007553513437934795
0,42,obs_secs_per_active_day,5.921245574951172,0.0020348950393343683
0,42,recent_vs_life_ratio,22.795663833618164,0.007833957005531897
0,42,city,6.616037368774414,0.0022736671619772975
0,42,bd,4.847462177276611,0.0016658786758700674
0,42,gender,4.302343845367432,0.0014785433297150713
0,42,registered_via,7.58227014541626,0.002605722682921804
0,42,registration_init_time,9.245476722717285,0.0031773001948992665
1,43,pre_total_secs,10.279067039489746,0.0025718502545959312
1,43,pre_n_days,31.970319747924805,0.007999060096342683
1,43,pre_rate,5.560616970062256,0.0013912813405364244
1,43,pre_list_price,10.81899642944336,0.00270694204198104
1,43,pre_amount_paid,28.946746826171875,0.0072425540089005635
1,43,payment_plan_days,24.781017303466797,0.00620027726409604
1,43,payment_method_id,32.87574005126953,0.008225598694517743
1,43,is_auto_renew,3368.463134765625,0.8427985475201282
1,43,is_cancel,236.61788940429688,0.05920243313605251
1,43,n_hist_txns,19.177541732788086,0.004798272586268051
1,43,mean_hist_price,9.728815078735352,0.002434175732197997
1,43,median_hist_paid,9.613816261291504,0.0024054027183841023
1,43,cancel_rate,26.00657844543457,0.0065069159622272625
1,43,auto_renew_rate,8.458964347839355,0.002116455659645983
1,43,mode_pay_method,9.04310417175293,0.002262609016665661
1,43,tenure_days,10.439862251281738,0.002612081649604478
1,43,recency_days,49.3837890625,0.012355957012963218
1,43,has_hist_txn,0.0,0.0
1,43,n_prior_renewals,17.945199966430664,0.004489937357654456
1,43,n_prior_cancels,5.856278896331787,0.0014652567507005324
1,43,n_prior_autorenew,8.346700668334961,0.0020883669847102096
1,43,prior_renewal_rate,17.96968650817871,0.004496063956341569
1,43,obs_secs_per_active_day,4.793315887451172,0.0011993005433411366
1,43,recent_vs_life_ratio,20.647064208984375,0.005165951067206091
1,43,city,6.473179340362549,0.001619606903097205
1,43,bd,4.718773365020752,0.0011806498034875694
1,43,gender,4.430522441864014,0.0011085286462599608
1,43,registered_via,5.2151570320129395,0.0013048463337199951
1,43,registration_init_time,8.197661399841309,0.0020510769583734208
2,44,pre_total_secs,11.289641380310059,0.005014357152968922
2,44,pre_n_days,25.81612205505371,0.011466374522263352
2,44,pre_rate,6.032857418060303,0.0026795272522873964
2,44,pre_list_price,7.833395957946777,0.0034792464818479024
2,44,pre_amount_paid,24.326980590820312,0.010804964039731597
2,44,payment_plan_days,20.01481056213379,0.00888968968337568
2,44,payment_method_id,34.28597640991211,0.015228307549025516
2,44,is_auto_renew,1627.1170654296875,0.7226931149456121
2,44,is_cancel,212.451171875,0.09436137229354388
2,44,n_hist_txns,13.56725788116455,0.006025973218355944
2,44,mean_hist_price,9.10269832611084,0.004043014204371348
2,44,median_hist_paid,7.885577201843262,0.0035024230722079377
2,44,cancel_rate,29.312265396118164,0.013019206076385733
2,44,auto_renew_rate,14.55612850189209,0.006465185616993692
2,44,mode_pay_method,10.550384521484375,0.004686012098147341
2,44,tenure_days,10.436286926269531,0.004635335015197661
2,44,recency_days,43.19610595703125,0.019185791256736483
2,44,has_hist_txn,0.0,0.0
2,44,n_prior_renewals,18.971216201782227,0.008426171430727413
2,44,n_prior_cancels,8.90057373046875,0.003953239438476966
2,44,n_prior_autorenew,49.24030303955078,0.021870355084206202
2,44,prior_renewal_rate,16.494958877563477,0.007326327936323434
2,44,obs_secs_per_active_day,4.476064205169678,0.001988068868466069
2,44,recent_vs_life_ratio,18.780508041381836,0.008341467338186347
2,44,city,5.859960079193115,0.0026027339354164083
2,44,bd,4.12713623046875,0.0018330905634098898
2,44,gender,3.756417989730835,0.0016684339902239339
2,44,registered_via,5.331305980682373,0.002367929270590033
