accuracy,balanced_acc,macro_f1,weighted_f1,test_month,test_n
0.5146,0.5143,0.4526,0.5379,1,529419
0.5141,0.5471,0.4488,0.5405,2,543482
0.5243,0.5646,0.4571,0.5502,3,545571
0.5163,0.5115,0.4321,0.5448,4,551732
0.5055,0.5715,0.4456,0.5313,5,565623
