CHURN,CONTRACTION,STABLE,EXPANSION,model,run,seed
0.4071335363201392,0.31980127008554315,0.5987815797327902,0.4139818268994632,LightGBM,0,42
0.4096343920928894,0.31887943742873637,0.6020336446506683,0.4144620192738595,XGBoost,0,42
0.41483734717997406,0.32142601952107164,0.6029320632758285,0.4164247037589265,LightGBM,1,43
0.4204255149289478,0.32028930338789496,0.6060518168030696,0.4158318755540215,XGBoost,1,43
0.418993006451113,0.3195916764821358,0.6040648721560472,0.4167447205408937,LightGBM,2,44
0.42346513014106896,0.31849166899018355,0.6082148747349407,0.4161989499513575,XGBoost,2,44
0.41332165105284946,0.32059089452207484,0.6036435617107828,0.41587185275358207,LightGBM,3,45
0.4142567620235404,0.31984011837389625,0.6064772989894321,0.4162414932458541,XGBoost,3,45
0.4138768059655119,0.3194177226121877,0.6023563882833667,0.41514228841629885,LightGBM,4,46
0.41537812073552655,0.3196754758647176,0.6043378227798188,0.4151855862951659,XGBoost,4,46
